[2025-09-21 00:42:57] Error - Socket error
[2025-09-21 00:44:15] Error - Socket error
[2025-09-21 00:44:52] Error - Socket error
[2025-09-23 06:28:02] Error - Recvfrom error
[2025-09-23 06:28:33] Error - socket
[2025-09-23 11:14:32] Error - Bind failed
[2025-09-24 08:58:05] Info - Доступные интерфейсы (3):

[2025-09-24 08:59:23] Info - Доступные интерфейсы (3):

[2025-09-24 09:09:46] Info - Доступные интерфейсы (3):

[2025-09-24 09:17:31] Info - Доступные интерфейсы (3):

[2025-09-24 09:20:12] Info - Доступные интерфейсы (3):

[2025-09-24 09:20:36] Info - Доступные интерфейсы (3):

[2025-09-24 09:20:43] Info - Доступные интерфейсы (3):

[2025-09-24 09:30:46] Info - Доступные интерфейсы (3):

[2025-09-24 09:36:50] Info - Доступные интерфейсы (3):

[2025-09-24 10:58:52] Info - Доступные интерфейсы (3):

[2025-09-24 11:17:55] Info - Доступные интерфейсы (3):

[2025-09-24 11:23:15] Info - Доступные интерфейсы (3):

[2025-09-24 11:28:37] Info - Доступные интерфейсы (3):

[2025-09-24 11:32:10] Info - Доступные интерфейсы (3):

[2025-09-24 11:32:43] Info - Доступные интерфейсы (3):

[2025-09-24 11:33:14] Info - Доступные интерфейсы (3):

[2025-09-24 11:46:34] Info - Доступные интерфейсы (3):

[2025-09-24 11:49:21] Info - Доступные интерфейсы (3):

[2025-09-24 11:52:06] Info - Доступные интерфейсы (3):

[2025-09-24 11:58:24] Info - Доступные интерфейсы (3):

[2025-09-24 12:48:39] Info - Доступные интерфейсы (3):

